f_LV, vol [L], time [s], eGFR, p_int, HR, CO [L/min], CVP, PCWP (mmHg), EF, EDV ml, maxBP, Qlymph [L/day], Relative change to interstitial volume,Excess interstitial volume [L], compensated
1.0, 0.024959999791462906, 84.95999908447266, 97.7541275024414, 10.117936135411354, 64.00000333786011, 5.723106733057648, 4.266457314399068, 8.329447016668292, 60.34430265426636, NA, 96.76834005499842, 5.033166382872878, 1.0005706548690796,0.03994733197032474, True
2.0, 0.16464000509586185, 224.63999938964844, 98.13995361328125, 10.1696266252944, 64.00000333786011, 5.719091714126989, 4.326969202294304, 10.367988822995267, 60.212886333465576, NA, 96.8874932494262, 5.0263958883078885, 1.0007376670837402,0.05163357491255738, True
3.0, 0.2874599886126816, 347.4599914550781, 97.43133544921875, 10.207722209610473, 64.00000333786011, 5.7142594596371055, 4.371167752872275, 12.183861861168355, 60.0396454334259, NA, 97.0952037759147, 5.021135609695193, 1.0008610486984253,0.060273388953646645, True
4.0, 0.4018199979327619, 461.82000732421875, 96.4115982055664, 10.240896416136778, 64.00000333786011, 5.709673423552886, 4.40782400586081, 13.8915149462509, 60.04149317741394, NA, 97.29464455650606, 5.018922161070805, 1.0009688138961792,0.06781588308513165, True
5.0, 0.5115200183354318, 571.52001953125, 95.50678253173828, 10.270839452017483, 64.00000333786011, 5.706505326088518, 4.438808542622607, 15.576399677566343, 60.194700956344604, NA, 97.46694679985299, 5.017983494326472, 1.0010663270950317,0.07463910878868774, True
6.0, 0.6165200029499829, 676.52001953125, 94.7986068725586, 10.297415807687404, 64.00000333786011, 5.703636270482093, 4.467134619772759, 17.202468679564326, 60.39217710494995, NA, 97.59044362520814, 5.016690602133167, 1.0011529922485352,0.0807072501629591, True
7.0, 0.7177600055001676, 777.760009765625, 94.1812744140625, 10.323191924438577, 64.00000333786011, 5.701178015442565, 4.494441628368489, 18.774652486086318, 60.602545738220215, NA, 97.7038907682153, 5.015813633235666, 1.001237154006958,0.08660337334731594, True
8.0, 0.8152599912136793, 875.260009765625, 93.61505889892578, 10.344933884809896, 64.00000333786011, 5.697714368579909, 4.520111534919921, 20.308932069772805, 60.81686019897461, NA, 97.81481084095273, 5.01258754184164, 1.0013084411621094,0.09158511238638312, True
9.0, 0.9109000093303621, 970.9000244140625, 93.06419372558594, 10.370012310421385, 64.00000333786011, 5.695632862625644, 4.546175609497119, 21.823214836542355, 61.03426218032837, NA, 97.93061658287829, 5.011473911054054, 1.0013904571533203,0.09734106424730271, True
10.0, 1.003699959255755, 1063.699951171875, 92.565673828125, 10.391475011215796, 64.00000333786011, 5.692037375411019, 4.572357339338687, 23.274375782879044, 61.25073432922363, NA, 98.05623028738692, 5.007848778859625, 1.0014610290527344,0.10227443999610841, True
11.0, 1.0955800535157323, 1155.5799560546875, 92.05187225341797, 10.416460045099926, 64.00000333786011, 5.689091049134731, 4.600476031917791, 24.712875740922353, 61.46823763847351, NA, 98.18295004294114, 5.005062860163889, 1.0015432834625244,0.10802718315972015, True
